,TCGA.BH.A1EV,TCGA.BH.A1F8,TCGA.BH.A1F0,TCGA.AC.A2FM,TCGA.BH.A1F2,TCGA.BH.A1FD,TCGA.BH.A1FH,TCGA.BH.A203,TCGA.BH.A1EU,TCGA.BH.A1FM,TCGA.BH.A1FR,TCGA.BH.A1EW,TCGA.BH.A208,TCGA.BH.A1FJ,TCGA.BH.A1EN,TCGA.BH.A1FN,TCGA.BH.A1FE,TCGA.BH.A1ET,TCGA.BH.A204,TCGA.BH.A1EO,TCGA.BH.A1F6,TCGA.BH.A1FC,TCGA.BH.A1FB,TCGA.BH.A1FG,TCGA.BH.A209
cg19558933>NA,5.361189345,5.69442227,4.148976673,5.21959809,5.655444694,3.118501164,5.947031645,5.243306054,6.443542149,3.990744202,5.977967294,5.368523217,4.83108825,5.268727919,5.813355929,2.129388155,4.089729785,4.754701042,2.38900973,2.293602788,5.306932565,3.64218676,5.409758961,6.075362888,3.387465704
cg27617132>INPP5A,4.219808701,3.915357018,4.559476307,6.106261555,3.339989466,3.688269801,4.537176182,3.533186786,5.494450226,4.982585683,5.390714155,3.683154098,3.168402519,4.105207645,4.688318184,3.370774976,4.138155024,4.784918708,6.570234403,6.93551435,2.304606646,5.146373074,4.48267069,4.096279307,5.35365098
cg08262464>POR,4.729655632,3.83672766,3.671337173,6.33453741,4.083199695,3.277087583,5.978185069,4.101863609,5.527021352,5.472934465,5.277847939,5.402281518,6.352204565,4.396576443,3.168403592,6.157701429,5.957255952,4.459722363,4.470325266,4.034867862,3.478507054,4.385969012,5.923040802,4.33918719,4.988643829
cg12876012>NA,6.519406201,6.408452633,3.774369111,5.581980777,6.572419907,3.750299101,6.852895928,6.063733832,6.647706476,3.387525621,4.592633209,6.250845972,3.462450304,4.145054917,4.787159966,3.534781089,6.732862612,6.739916954,6.016885393,5.006475883,6.217869975,6.694705587,6.590621596,6.970862589,5.867217992
cg15654779>NA,6.065890104,5.408107654,4.106639792,4.748528808,6.117955594,4.084025818,5.280257901,6.10751122,3.310809893,5.065338498,5.151067843,5.019321457,5.764351861,3.23451584,5.947930087,3.280209112,4.613591239,4.526837908,6.209907811,6.394119844,6.307903463,6.02549716,5.262818083,3.221194263,5.550741703
cg19089649>KRT3,2.950935914,5.024195543,5.025543256,1.922835815,3.286927835,4.743701737,2.554532716,5.3030669,1.652126571,5.206028215,4.665808142,4.711862839,5.385825261,3.895890158,3.191143288,5.358048519,5.123915761,2.055489407,5.0443702,5.000755013,5.169589199,3.29445456,3.106350229,3.618694504,5.656366156
cg19754622>STK32C,6.797721898,3.935664938,4.613926382,4.164638166,4.583257591,3.332095623,6.975433722,4.185589075,4.754671198,6.870869974,4.033255999,4.680865276,5.696763559,3.084012588,4.253573158,2.729878263,5.806240647,5.289306268,6.286781415,3.471109395,3.630072393,6.893545523,4.342241991,5.274777169,4.029006822
cg13626676>RALGAPA2,3.904636577,3.566861345,3.494353544,3.952245413,4.94621336,3.485945827,3.753598641,4.861687127,2.635975485,3.441755037,5.303195109,4.75926151,4.291258693,3.407965929,5.192914572,3.311658425,2.608145474,4.545470619,5.014445878,6.045517157,5.42827272,5.489583255,4.369034154,2.917661746,4.358763902
cg00164583>ZFPM1,6.750155723,4.091918685,6.465401026,4.158318475,4.519179778,4.638075221,5.89018707,5.528207089,5.453333901,3.718174453,5.107780647,3.820969853,3.397883526,4.694591589,6.104894483,5.909609023,5.130472966,4.430794253,6.313042809,6.47663412,5.489053477,4.510103689,4.240337085,6.964224501,5.293376707
cg01628528>C1QTNF9,5.575180164,5.679150671,6.036505227,5.941919778,3.74343613,6.133034146,6.540323882,5.763915141,6.767561158,3.23532477,4.164045871,5.169297615,6.969622361,6.265711058,6.817294382,3.847131777,3.628073109,3.493460707,5.672283475,4.782617353,5.579989538,4.568811017,5.374260149,4.698975659,4.974959926
cg03167844>NA,2.528151257,3.886027616,5.737966485,2.706868305,3.719315147,5.281919982,2.9622607,2.943354069,6.185572726,3.449289494,2.897433244,2.75507545,2.355808594,4.564675783,3.56424397,4.617031547,3.120742492,4.305031948,6.999309839,7.353974619,3.519326716,3.830127784,2.808956707,3.585068389,3.808277249
cg22824635>NFIX,3.219221044,5.127833955,4.983766663,3.643718642,4.209033168,2.295241686,4.032764121,2.713251471,4.902629104,3.765331548,2.921289201,4.915205675,1.809610534,2.865874141,3.30675664,3.5506392,1.880222267,4.643505016,1.310059021,4.015201658,3.588929285,4.376550859,2.749743063,3.044372829,2.525022912
cg04214430>NA,5.09117827,4.449947522,3.386824974,3.726778235,4.751663133,3.427540914,5.251723612,4.379700398,2.369285323,4.158874661,4.258492111,5.306676786,5.592526883,2.779305469,4.51283215,3.620963563,3.759364312,4.574984464,5.950507516,4.574627574,5.961977653,5.262773474,5.407694043,3.571189442,5.089403428
cg27082921>ATP8B3,4.250274871,5.411668987,4.858006285,5.685219356,4.150997562,5.076964986,6.136810489,3.444114051,5.971258177,4.166650908,4.873362247,3.553100446,3.806081993,5.623227882,4.769138223,3.773566308,3.481304326,5.716112266,4.630421954,5.463735059,5.837904677,5.592815357,3.874652526,4.41177798,4.710800537
cg26557896>NA,4.691802585,6.846765806,4.861413311,7.523553344,6.827315326,5.300812708,7.045151112,5.177896583,5.087810237,6.317667005,6.665289484,4.832607709,6.06403756,5.964710843,6.245087132,2.247371246,6.643382395,5.136876323,5.978479615,4.949814581,6.176751255,6.129210245,6.756467661,5.75927859,6.478683783
cg11815682>CBS,4.80261024,6.950001576,4.756170845,6.452022129,3.617300944,6.603812885,4.823753784,5.810226118,6.145283586,4.28967951,6.665432175,5.865308109,6.06241217,5.362040447,6.209757971,3.4636611,4.511524122,4.192310957,6.771500109,5.865560901,6.364788204,6.269137754,6.804062684,5.415814926,6.365875353
cg25319564>NA,5.621329074,4.275976316,7.005126479,7.43473552,7.126330005,4.752908849,5.017391254,6.55615521,5.686573961,6.649594987,6.351752183,7.192154109,5.151099056,5.165902473,5.104707176,6.457470501,5.751631644,5.132031446,4.318600424,5.205078154,6.769561655,5.600202497,6.182680861,4.805193457,4.589910911
cg25740208>NA,4.377779429,5.431495073,4.412056517,6.084333986,5.589340304,3.742985016,4.517018924,4.379005916,5.921402697,5.316971932,5.73550027,4.7237081,4.099349606,4.387870161,5.870484396,3.917686276,3.97339013,3.611671399,6.001974298,6.964571218,3.793883397,3.773026372,4.904267369,4.654648187,5.578669975
cg01641368>HDAC4,3.415441148,4.950580485,4.81398347,2.642404348,4.111737572,5.390738201,3.626241218,3.246851394,4.304504397,3.021451219,3.607649743,4.166899169,4.766891223,3.275763081,4.832728639,2.923709482,3.103570865,4.298008728,6.207089719,6.419207972,4.498061868,5.286255173,3.138369706,3.896222103,4.668229271
cg05275182>NA,4.666941329,2.348251772,4.842147359,5.29893224,5.04209241,2.311676405,5.18587907,4.056949895,2.959511632,1.682399668,4.924376903,2.500258384,6.19917165,4.751375062,2.375057874,4.661034308,5.152156527,5.324260015,5.995553576,1.788983833,4.967347822,1.651930019,5.030383572,2.195482349,2.893278406
cg13482649>NA,5.360647348,4.091872255,4.391490709,6.671511549,4.96846549,4.740919264,5.609517907,4.844499485,6.553838129,6.087804104,4.943115839,5.753127051,6.89139058,6.372634747,5.081516425,4.80986597,6.49733744,6.47062404,3.966416097,3.394736547,5.322328598,5.311834086,7.200093375,4.837994325,6.075107474
cg20409752>CAMTA1,2.523643857,3.98057115,3.033586893,3.2332675,2.613596147,3.06253381,1.182644493,3.228658472,1.413262169,3.318309074,1.320833106,3.552499525,3.149908971,1.426893524,1.554502977,2.684153081,2.965659232,1.327065928,3.695433253,1.300202767,1.374267146,3.409814728,3.646442853,1.378544615,4.186472157
cg05950157>NA,3.178910617,4.846578193,2.827396291,1.802093629,3.024978386,2.81709169,3.030168162,3.504518166,1.577631263,2.108336234,4.838044115,3.470181195,2.09572612,2.544458235,5.615678418,2.272254878,2.705885574,3.737998059,5.700167446,7.091853372,4.229098251,3.63007279,2.430780469,2.802426437,4.644335798
cg22785556>C7orf50,2.979441397,1.416003202,3.386044116,4.299208256,3.161783332,2.302051037,1.488264316,1.720019118,3.913063337,1.165915347,3.175029077,3.167753971,3.5604297,2.650605001,2.803454421,2.515429518,1.318822111,1.355842785,3.030470615,3.346161346,1.397956951,3.386498535,1.480582243,1.529002349,3.489181741
cg27264388>KCNG2,5.499468221,4.749183144,5.43326379,4.724284976,3.269000234,2.955684697,5.041479745,4.228939944,3.841054605,4.833047228,3.41798337,5.686854706,4.317241407,3.941415498,3.503447261,4.150569856,3.585642524,2.502827949,5.002897538,3.587358246,2.831211105,5.370236923,5.07303568,3.087772183,4.68909765
cg25662041>LMAN2,4.900486358,6.343347573,6.600763229,4.781556734,4.728091648,5.455575027,4.032634595,5.52321038,6.363805432,6.292120453,3.706430633,6.222491936,5.577276217,4.661479611,4.77132294,4.106876737,5.776139355,5.851573159,4.98427874,3.598137969,4.37192414,3.627366743,5.60709404,6.201718596,4.302335839
cg02947374>NA,3.891575051,3.01034632,4.357083234,4.570483168,1.633115608,3.576332901,3.394062123,2.233287644,4.031617234,3.049294439,2.613287834,2.74261609,2.206184335,4.203655292,2.570949545,2.801263756,2.30018488,3.874665275,3.585705983,4.245603135,1.855527718,2.100778512,3.473150995,4.239714698,5.029780021
cg20170943>NA,3.935493613,4.146915336,3.964669152,4.728888274,3.125891717,3.247420566,4.749795876,3.554955065,4.984920887,4.715783885,3.499172348,4.472218682,2.855843396,4.069289911,2.831182879,3.588627824,4.801484772,4.149291644,2.320534057,2.722539481,3.344021209,3.224408263,4.82699819,4.91769638,1.464590458
cg09293286>MXRA5,7.198138846,6.744718267,7.123784954,6.152448881,2.957990482,6.081902929,6.42726919,7.136197314,3.938459143,5.315205612,4.302998205,5.991203909,6.37854968,5.968051081,6.995687368,2.600222847,5.832833208,4.391747391,5.834680634,6.689547652,4.963388792,5.104390613,6.417609895,6.819923932,6.604709216
cg22382021>MGC70857;KIAA1688,6.11000366,4.472025192,5.552304638,6.541236274,5.392717287,4.883098703,4.116226292,6.261382872,7.833782146,7.130505509,6.947811455,6.754242001,6.000041562,5.775039472,4.895024657,5.373781556,6.66371081,4.95358768,4.604616775,5.602674449,4.340008004,3.995696342,6.224792073,6.601979945,5.396217914
cg21887309>PCDHA6;PCDHA2;PCDHA1;PCDHA5;PCDHA3;PCDHA4,5.91387207,6.970632218,4.661071167,5.414036988,5.14315607,4.28238473,6.846551672,5.851648341,6.192663014,6.011823447,5.309670493,6.198651877,6.543532512,6.194908168,6.447150805,4.657127872,3.110224909,4.723453303,4.329609645,5.941161585,5.194970198,6.634034734,6.680251331,4.803788857,6.699721005
cg03490288>DHCR7,5.252613759,4.84388874,5.495285972,5.725279701,6.676703586,6.477309313,5.888827475,4.777329675,6.672915331,6.399323677,5.419107158,5.014454278,3.022085896,6.236845887,6.831866041,5.778731958,4.846491195,5.859901468,6.821709455,6.257383913,5.155610859,4.270364572,3.992109006,7.027736964,4.655739751
cg00369443>PTPRN2,5.050776457,7.043389426,6.626574558,7.372476063,6.921081576,2.185650991,7.533847981,5.609950496,6.849514143,3.022234024,7.076097018,3.461668155,6.249822195,6.558078658,6.88355166,6.196190344,6.938235065,5.032984242,6.161546566,2.245722885,6.16563506,6.874321439,4.725781365,7.115586111,5.910954369
cg23105338>TSNARE1,5.61321644,5.401559188,5.545939657,5.166202904,6.101717557,3.358478465,6.990922055,6.095216569,6.342905393,3.872027976,6.3622907,2.975775081,6.041473512,4.429946687,6.750374055,6.24809128,5.746902888,4.33930822,6.127329062,7.060393186,4.861058183,3.70724171,6.095868742,4.497893797,5.547094047
cg06766016>BTBD19,2.957997037,4.576634676,5.053583183,3.809452845,3.258149229,3.010644921,2.83939179,2.642803627,4.685478509,3.33105886,2.574800253,4.568567732,2.880685494,2.596786766,4.044079453,2.994468776,2.292515387,4.285380402,4.546396248,5.425112391,3.318260192,4.703715157,2.806699974,3.56560295,5.290323931
cg07387471>TBC1D3C,3.5599197,3.001885241,3.097081982,3.730686926,1.588227509,3.459112128,1.655100338,3.688693231,1.788142437,2.717649746,1.765347136,2.653401521,2.73251322,3.2214449,1.733691298,2.847828122,1.757453743,2.942489997,3.922322687,2.267786555,2.671305094,2.324294119,1.576278327,1.775066375,4.427746897
cg18999185>ACOX3,3.773678304,3.437105506,3.841548439,2.960262667,5.379966236,3.328241711,4.163741986,2.80360546,4.530375256,3.702405505,4.989952729,2.128462028,2.238840197,4.622822233,5.203632131,3.107629546,3.001009713,3.392753242,5.527108016,6.85085208,4.006063317,5.190192491,2.551117159,3.706901791,3.886136322
cg17403731>HCN2,3.823275601,3.756507078,2.111029401,3.236636747,2.830128119,1.703711852,2.588386336,4.123060896,4.109715176,4.476768073,2.317595356,3.335337559,5.820708335,2.260245437,3.230296953,1.707026379,2.682806682,3.132135313,2.771122272,2.198805474,2.095518361,1.468253887,1.528976235,4.901231602,3.811926265
cg19819654>MRPL4,3.437415219,4.615878624,5.282665607,3.075755385,3.435586379,4.869568735,3.471806745,3.229737897,4.906134784,3.289527478,3.619129333,3.486140535,3.527617902,5.351809801,4.813705936,2.804366002,3.181210348,5.071605469,6.511704675,6.284325766,4.430166645,5.606558643,2.544175686,3.517858187,4.836888104
cg03872804>NA,5.112827817,4.157198798,5.548173511,3.930981559,4.616225161,3.646674539,4.55355249,5.668969343,3.582509307,4.88269042,3.853772734,4.247026128,2.981948142,3.397422208,5.734518005,3.355585076,4.272145876,3.50381584,4.75527315,7.272741037,4.840547184,5.814069,2.686214745,3.477987901,5.619854525
cg07037852>NA,1.439345401,2.686304431,3.17547955,1.55038225,1.372485378,3.436289719,1.377361192,1.175490047,3.810116985,1.283359522,1.761852939,2.309535311,1.380522074,2.854489874,3.061151788,2.115607746,1.495080038,2.575318627,2.249408469,4.548503176,2.375749599,3.105429099,1.15383726,1.380823474,2.193313682
cg01612292>FAM83H,5.641208481,5.975115184,4.784348317,4.757525128,4.675835757,4.641778955,4.960796767,5.885738417,5.004171113,4.683227485,2.914690325,3.642166135,4.6088655,2.813194339,5.956697081,4.374792276,3.639778529,3.485939374,2.431061767,3.315344372,3.399061853,2.989744543,4.637179217,3.008675187,4.006077873
cg10822665>ABR,2.831681552,3.06483974,4.390185357,2.512883747,1.676131774,3.816329302,4.042623834,4.138512259,4.617447707,2.392793662,2.492529188,3.054258083,1.257672784,3.693712589,4.411736678,1.770655446,2.471567128,2.784310708,3.824017041,5.261714015,3.149635015,3.34340134,2.318328365,4.13060049,2.044049056
cg23512657>MMP17,2.871267628,3.548695459,4.666184704,2.620292001,2.802980753,3.720522399,4.798341406,2.43336137,4.817268329,4.239566519,3.633354238,2.527238287,3.128833642,4.582009092,3.845634846,3.259460453,3.738425406,4.592871043,5.16912858,6.116639372,3.883510423,4.226420036,2.485016649,4.208545708,3.474080401
rs845016>NA,0.113947947,4.651767806,0.103593188,0.076932638,0.100718859,0.137738965,1.317852571,4.889261928,1.371969855,1.563136176,0.112253096,4.93522979,0.133198605,0.134555856,1.364309117,1.352039467,5.339075412,1.329291584,1.292379244,0.118014269,0.132189979,1.477396697,4.852725822,1.485248363,0.152841337
cg13120258>NXN,4.075960941,5.704618163,3.179577456,4.75332392,3.738372844,4.097868342,5.357104651,3.788854084,4.4841029,3.749857929,3.842494146,5.546786484,4.96239896,3.357465724,5.249051525,3.615388171,3.123868051,3.554103349,5.977266276,5.405973752,5.222904536,3.4572144,5.261612596,6.048962538,5.165484868
cg10924806>NA,1.787487349,3.933190161,1.814597334,4.442916065,3.720720757,3.438795588,4.909144637,2.77840499,1.790184005,4.266716106,3.908961374,1.911995014,5.282948809,3.41558061,4.565631709,3.394655939,3.702815515,1.983265749,5.177046241,2.165781668,3.639658946,3.131378905,4.031940747,3.467767646,5.574606374
cg13916816>GABRD,4.084215288,3.578491646,3.653566002,3.761599551,2.747968896,3.767417648,3.254299997,2.692035482,3.621410401,5.980267855,4.932249253,5.788509015,2.89413711,2.629450169,4.370293421,2.971612303,3.443757341,5.39931109,4.527297801,6.76746359,4.187846125,2.858200023,3.224530766,2.579762114,5.357222555
cg24030037>CLU,5.76766371,5.686660793,4.451065588,7.226591333,6.686036431,3.783855999,5.881830251,4.70475132,6.954044432,5.681357183,6.039061968,3.814927155,6.495190533,5.587623858,6.481376333,4.697485255,5.243495099,4.485302651,6.199682399,5.552308486,7.261189299,4.982602479,6.314263815,6.974057494,6.65302532
cg12082025>ABCA7,5.937377581,5.825929467,2.061322448,3.789498316,1.648219936,3.354517417,5.468535733,2.105161348,2.306482661,2.1410651,2.660284336,3.009879311,3.456224304,2.450663718,2.269065284,4.074273176,1.476671115,2.733572852,1.197367942,3.467116938,1.919536356,2.35876634,4.37662194,3.464654408,4.177427685
cg09444070>SYNM,4.824172704,3.554821411,4.023752305,3.114758971,2.848348663,3.137961634,3.025990244,4.115642603,3.19909807,2.73534584,3.132033574,4.90011677,3.442473431,5.448491561,5.202209782,3.353723008,4.555635653,3.348343476,5.109697042,6.000958559,5.112250818,5.436135677,2.313023014,2.895762149,4.470933328
cg11062158>PTPRN2,4.633996864,5.968882264,5.8454318,6.592297694,6.699832295,3.123738506,5.15578642,4.731888175,5.72960289,3.567365326,2.882933153,5.477780096,2.91969267,2.677068466,5.266112523,5.5252352,6.348916736,6.153404279,5.510734799,5.820749548,4.367499821,6.585707983,3.129578659,6.177579626,5.020508474
cg08502383>MUM1,4.527999516,4.545071419,3.674647617,5.95449764,3.590280722,3.358483536,4.577965657,4.659895742,6.212157393,6.423942942,4.687162008,5.484119156,3.874359818,4.015176448,4.803844067,4.682708284,5.123204726,5.840003513,4.655274036,5.505629184,3.781869439,3.71083463,5.743643336,5.003449789,5.543227699
rs3936238>NA,0.055876313,0.056854793,1.292040524,6.07367103,1.38744253,6.111805761,1.372105094,0.096481855,0.066665944,1.359456209,1.464792648,1.343574567,1.369698941,0.074078756,1.327125344,0.069104337,0.052956062,1.2889924,1.423218422,0.064581761,5.377370291,6.02753011,0.0688083,1.264904904,6.468658906
cg07416455>TCEB3CL;KATNAL2,4.403518407,3.449710426,5.89739179,4.486047642,3.403047951,4.08506101,5.924918091,4.287676977,4.16447428,3.586026019,3.913860111,6.046864865,2.996781078,5.219214949,3.859228715,4.81226013,4.880367115,3.746823677,5.065304915,6.321856219,3.684761115,5.223144494,6.23755212,3.446691686,3.015102024
cg08804111>NA,4.056066322,4.014484212,2.915189778,5.052422164,3.684593983,2.32187239,2.237470969,3.619590027,1.715899299,1.973871928,2.477082318,4.28985937,3.035291878,3.117636051,1.773305724,2.208593327,3.365718717,3.330867403,3.48911894,1.899137041,1.656647812,4.225441727,2.59915273,3.888414659,1.902566659
cg10336039>USP36,6.201646378,4.088604138,5.308232233,3.686450795,3.957377668,3.052583744,5.006193938,5.217656066,5.270886349,3.866245512,5.60291883,2.128107537,3.033303829,3.218752301,5.0793555,4.188531807,4.792021189,3.604040677,5.023557004,6.656559188,3.974333873,3.860259798,4.719695827,5.554093226,3.749437141
cg20222666>NRBP2,3.607336693,6.604563265,5.439801166,5.446814892,4.800729658,4.460364485,5.534253741,4.706806321,3.559725286,4.594959949,5.201121373,6.226447541,5.895712687,4.331889378,6.915976498,3.591340387,4.624222696,4.799531935,7.120234066,6.805398258,5.785260156,6.87474423,4.868225461,4.131627337,6.907753142
cg12737588>NA,6.189470176,5.832518262,6.914371037,6.539854527,6.264423138,5.991280648,6.942637622,4.624127468,7.028601294,4.534499636,5.30873943,6.890053992,6.244760053,4.981553319,4.700295943,6.006256606,6.78914332,6.908870283,4.373231645,6.470996872,4.988623653,6.481440721,5.784346822,6.018286794,4.432664946
cg15148028>KIF26B,4.096874287,6.21247098,4.324490069,4.934087988,5.615822198,5.464617419,6.677735792,6.138044602,3.947048057,6.390910413,6.285771521,4.711602905,6.003637328,4.507146231,6.491136717,6.460880589,5.3820358,4.743300539,5.600230199,4.603231073,6.230269759,6.412358463,6.464203988,5.4878417,6.085029399
cg15212455>POU6F2,3.183129435,1.08651525,2.560032506,1.789800423,4.685909182,1.717689535,2.821682783,4.747619129,2.146532913,1.519366531,1.584674503,3.08516846,5.123975011,1.716883972,2.616975464,2.047872839,1.220799976,2.506182326,3.967809128,1.272667098,4.107222652,2.64135855,3.104908181,1.67052861,4.730570428
cg14876315>CXXC5,3.139476315,4.476193573,4.125879415,2.760872355,2.942547899,3.557150569,2.681798132,3.604733287,4.612925185,2.794669132,4.431454692,3.094391531,2.634027285,3.896660666,4.843554936,2.358652138,2.573576607,3.339494777,4.29065681,5.43925565,4.222824287,5.178154624,2.539522873,3.655694707,4.135695637
cg14938419>TBXA2R,4.140087184,5.71315225,4.570644044,5.572682342,4.320304825,3.270068116,3.617101385,4.625166928,3.9046995,6.395240297,4.713574818,4.433572446,3.652488304,3.376679306,4.318179333,2.382947016,3.974656225,3.259867821,6.180034783,5.545680594,5.06894377,6.151761413,3.81976626,4.731830389,5.354886339
cg26450010>ABHD8,3.599197444,4.16498139,4.474576242,4.292453645,3.043494332,6.117765172,2.660236264,3.377378169,6.124673056,2.838011133,4.84121452,3.338644549,2.579397614,5.572079596,4.971538392,4.216304805,3.440065284,4.507074382,6.016792537,6.87817937,4.377911455,4.152993683,2.460026379,3.546924355,3.180089325
cg19721255>BAI1,3.319791102,4.337250023,3.809567371,6.231364525,3.896621147,2.430195712,3.109562543,4.868875613,5.994584814,5.016736852,4.556101652,4.869607282,4.09631392,4.079007846,3.61316895,2.650029516,3.922042932,3.145914424,3.659428237,5.28215172,2.720984306,2.664602682,4.664106631,3.42106825,5.252070095
cg08926642>PER3,4.662806073,4.596347511,6.070027753,4.621291493,4.00275765,3.897073412,5.176373686,5.599287262,4.465994957,5.054908444,4.356203691,4.902996575,5.895465035,5.051622802,3.908368294,5.127149955,6.025476378,3.900575772,3.124557918,3.700965215,6.051159132,5.646307123,5.699268334,4.308285522,3.085904818
cg10925420>TIGD3,2.685430691,3.647014435,4.560515218,3.1411518,2.984339266,4.545497218,3.323613426,2.713947103,5.142770215,3.079893023,3.29686224,2.914333954,2.220288287,4.372843381,4.223632581,2.611403686,2.481447339,3.973650727,4.797325606,5.854682751,4.137755635,5.199591633,2.860662632,3.627873322,4.480223703
rs4331560>NA,0.062182077,1.501883972,1.402017027,1.466741887,0.077433155,1.421390661,0.073388475,1.478322699,5.729129872,1.401109383,0.07209177,0.069944155,0.065725123,1.382210008,1.48464587,1.450028531,1.392261427,0.047838824,0.077270013,0.074118699,0.083471812,0.069348007,1.402004825,1.428939979,0.068574251
cg13581022>MXRA5,6.272678659,4.376923071,5.660966032,5.044011125,3.505580872,4.186010975,5.838438072,5.557538108,3.964003978,5.625533244,2.740992672,5.059012138,5.487534392,5.463820025,4.794547526,2.391486667,4.131119333,3.825335983,4.474732371,5.074784723,3.922855885,4.111786975,3.485435668,4.619968047,5.53963795
cg22717323>MAD1L1,3.566382373,4.46167991,4.199655581,4.287351014,5.310447087,4.262638063,5.259427402,3.607883749,3.355823325,5.186240468,6.000470789,4.311383301,3.626107765,4.015447287,6.650616402,4.500224694,2.896365576,4.862351887,5.64121129,6.56503028,5.174387016,6.406154452,3.602636849,3.538005558,4.106286226
cg23376390>PCGF3,5.988592719,4.769911083,5.323245559,6.755980217,3.784119556,3.771164635,6.304466622,4.39633568,6.683886289,5.471959357,5.324725008,4.147089473,4.732646979,4.765462743,5.357939335,4.987843588,3.662403035,5.679736036,6.082114322,6.380010476,5.08151803,4.295252673,4.191976484,5.84509131,6.324112636
cg26472802>AIRE,4.34708588,5.510778008,6.27861623,6.057330935,6.194668087,5.314052699,5.488291155,4.98839318,6.765935999,6.402668417,4.665021895,3.18109738,3.191739901,6.102195581,5.198060214,3.80429715,3.87501449,5.838545885,6.498415533,6.50330559,4.560510982,4.801094297,5.504686493,5.341698908,4.2359639
cg24783935>LOC100132831,6.506305415,7.37866704,6.641718578,6.482300309,6.303852629,6.085610377,7.630141426,6.50086982,5.97702458,6.857218479,3.496961151,6.949195138,7.128361498,5.800038178,5.208256697,4.949113084,3.840804538,4.771511733,4.844269146,4.235708517,5.473265181,6.167621277,5.402226505,6.787050705,7.982899351
cg01602345>PRDM16,5.481171364,4.881166969,3.654393226,3.7559227,6.04385773,3.825358296,5.087562129,4.459099611,3.626759819,3.999651135,4.801321582,3.879956692,5.550273799,4.077600912,6.25754063,2.693126963,4.202085721,3.731726016,5.456612471,5.780387172,4.736977865,3.694143804,4.630349649,4.504295942,5.550635894
cg25088009>C14orf43,5.571097185,4.669821542,4.187092551,5.390692774,3.484293692,3.763066775,6.03395609,3.587312874,6.515527613,6.079717739,5.395348178,4.437662204,3.529206968,4.431372301,4.100472177,4.846588837,4.247475588,5.759549865,3.636013247,3.880016453,3.608407322,4.852350134,4.358904077,4.905073595,6.20604014
cg23581489>RXRB,3.208819527,5.632410043,3.770645377,5.74500208,4.831463188,4.87725511,5.822635487,3.717458179,3.327639721,5.093769889,5.42686832,3.869714161,5.874111618,5.260063983,5.57468317,5.764395699,4.771275269,3.600200834,4.613367857,3.644405396,4.530245118,4.949205733,5.636843175,4.920246425,6.721379388
cg23781334>NA,5.376342157,3.676764222,4.545661582,5.798503284,3.271966801,3.767184644,5.31842776,4.60203353,5.221500824,4.295318872,4.385017719,5.476722801,5.946380677,4.260526551,3.394195901,4.592280094,4.869926614,4.83310642,3.159170628,3.32054492,3.497778774,4.507858121,5.864372539,5.345694463,4.381609046
cg04708126>MCF2L,3.712266993,3.183969522,4.574963521,4.765716358,3.668386046,3.45112526,3.489540468,4.376987961,5.727875887,5.66411022,3.075127884,5.146763109,3.786088882,3.606173171,2.906764696,3.279895622,3.556272535,5.29563212,1.348063648,2.487406562,2.284179812,2.688319022,5.10504247,3.182875722,2.559527496
cg20925383>NA,4.993730119,3.961908117,3.533296251,3.115777168,4.172147914,2.881453473,3.928789143,5.033329078,2.618486673,3.949885887,4.303742207,5.239401339,6.050305591,2.654592605,5.027459506,3.609632516,3.491018632,3.977730356,5.957727824,4.429231145,5.494891153,4.38692984,5.172746721,3.388018318,5.599065652
cg26677194>PIWIL1,2.901853729,7.152482734,4.491972964,2.917264662,2.164020423,3.619224984,3.992843458,3.110103211,4.988480429,4.335978918,4.217568477,4.14948875,3.616455657,4.003632924,2.648510432,1.204715727,3.159590509,6.826671801,6.209536475,3.719392127,2.050016324,2.593834423,6.834371387,2.737714488,4.420960127
cg07774777>NA,3.971872546,4.7326572,5.238327679,3.781054201,3.561553887,4.516088966,4.364542594,4.088228775,5.695660567,5.687388734,4.361414264,4.312771066,6.054733576,3.311881411,4.846032246,3.778164503,4.470964306,5.51588961,2.914296917,2.627399028,3.511037689,3.362017839,5.089295854,5.970101625,3.317696655
cg06143315>NA,1.462254325,3.666510685,3.003824603,5.888721538,5.407439213,3.031878363,4.476522334,2.904963902,4.890688207,4.200723939,4.846787717,2.891098117,3.175826987,5.18993068,4.940914348,4.471124954,3.866265187,5.024665928,4.652364693,3.198996615,2.88691556,4.876568523,5.013003913,3.968597219,5.60634412
cg13632729>B3GNTL1,5.495464227,4.011878741,3.508835221,6.600888722,3.285556068,4.388860325,2.871607205,3.854373039,6.206847985,5.668754417,6.215214174,4.314976917,3.670579902,5.03973577,3.29108406,3.273291633,2.471284901,5.539255527,2.410756358,4.497107465,3.446860594,4.039778385,4.544653426,3.292573461,4.003124616
cg07442105>NA,3.896245539,4.059659435,4.175043753,3.925525888,4.599357088,3.828121545,5.00353674,5.145451437,5.24043358,4.877206308,5.25046751,5.100106031,5.712353407,4.121511132,5.906814961,4.283691518,5.94771977,5.816389525,6.724132938,7.14986087,4.206129823,5.259690824,3.978809511,4.391429162,5.742730309
