gene_id,Groups,Category,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54
cpg246,Group,D2,0.895907742,0.817878572,0.884204993,0.854258382,0.881666824,0.857928082,0.866056616,0.838850633,0.897921049,0.829986951,0.861780381,0.875444058,0.87528968,0.837973846,0.820650009,0.799423746,0.855135555,0.819328488,0.838913611,0.875431593,0.883844826,0.867807201,0.819796974,0.832215338,0.902076966,0.897195064,0.868972575,0.892181717,0.868104977,0.928396182,0.853282856,0.885966798,0.902704139,0.883642518,0.890661008,0.915104516,0.906540442,0.888130055,0.930199834,0.903421374,0.897931594,0.859805987,0.917753948,0.912843251,0.87770059,0.899967374,0.910609798,0.908864963,0.882183035,0.848279347,0.8985586,0.910850504,0.880457196,0.898410369
cpg247,Group,D2,0.286200723,0.445268596,0.210121786,0.397986015,0.277071239,0.222465401,0.326838002,0.247938508,0.227765461,0.40772272,0.362062418,0.407107853,0.275947669,0.416615492,0.33922499,0.320858436,0.418837536,0.320371416,0.30184527,0.271489952,0.366080071,0.356735247,0.406139864,0.322692884,0.187694473,0.286056337,0.300546284,0.303327914,0.315124191,0.584415393,0.234296812,0.6221842,0.46080504,0.466304851,0.597937161,0.456247792,0.26678173,0.330045657,0.461244979,0.74704488,0.371079591,0.711766297,0.21825858,0.34989002,0.292153057,0.75457442,0.696907912,0.600178858,0.64747745,0.391350708,0.378681822,0.213900056,0.336707866,0.170094672
cpg248,Group,D2,0.736708633,0.758123821,0.828707427,0.739745503,0.776227898,0.819698865,0.774452634,0.66018452,0.806167731,0.650963944,0.715822834,0.694541155,0.740397237,0.748682207,0.731056351,0.655210916,0.681112893,0.711224773,0.682891837,0.761415663,0.660699498,0.693463472,0.712269802,0.747252215,0.77449571,0.720277103,0.700050602,0.820854105,0.648390458,0.802645775,0.787513258,0.800536504,0.771932866,0.795413041,0.764315681,0.81695962,0.791430736,0.751039592,0.584301715,0.659634942,0.7372725,0.624087729,0.599740315,0.640396405,0.64410111,0.694259677,0.76057686,0.643882819,0.67682324,0.646351017,0.66591053,0.83178011,0.641271766,0.676285201
cpg249,Group,D2,0.893209678,0.881634255,0.875952249,0.891577262,0.903363751,0.879638617,0.885687619,0.880764618,0.912760122,0.815887254,0.876938988,0.88796311,0.870067351,0.823167048,0.885163961,0.869005671,0.878211071,0.872024462,0.880319987,0.875770359,0.863770128,0.894532312,0.841647964,0.869892268,0.87206432,0.897318984,0.832945648,0.810380401,0.874928311,0.893998441,0.785546124,0.92091711,0.724308839,0.903934639,0.899307498,0.900564848,0.905814956,0.890626926,0.883940568,0.519301907,0.89853628,0.900728265,0.912369665,0.910934757,0.897176601,0.902967141,0.882248394,0.78719969,0.892975212,0.871262977,0.905024807,0.740306638,0.423363518,0.281348676
cpg250,Group,D2,0.550250518,0.401829271,0.654347148,0.670672048,0.57862896,0.691860852,0.610949499,0.616008961,0.487644917,0.737947752,0.564712556,0.703401012,0.669796577,0.731900843,0.635157251,0.731924837,0.671392587,0.62943883,0.714032506,0.593651299,0.718682108,0.644619481,0.828382208,0.728880602,0.302856452,0.561424155,0.887197188,0.709851578,0.471975076,0.434130769,0.810804908,0.30346498,0.857937916,0.240073082,0.216598624,0.473922924,0.254836228,0.354165326,0.172931641,0.071526617,0.421253285,0.120199127,0.087558646,0.137308795,0.198631588,0.058458115,0.079439225,0.778893069,0.31891802,0.121343588,0.54466643,0.578397908,0.553758748,0.256846824
cpg251,Group,D2,0.81811428,0.836060733,0.792320676,0.583372338,0.748478525,0.641680118,0.871687637,0.855627054,0.820291587,0.802668499,0.723396135,0.822035365,0.806501698,0.775335478,0.748655957,0.784694456,0.797312659,0.762117053,0.724790205,0.726838085,0.771610133,0.713689222,0.443825106,0.641782642,0.849395203,0.848690318,0.45327598,0.581464134,0.573296036,0.73043917,0.67884175,0.709935988,0.64705008,0.81678407,0.722365751,0.474561882,0.733981995,0.695270325,0.673122717,0.875372416,0.80387402,0.823865708,0.800577915,0.806773166,0.804333127,0.803955764,0.86065265,0.755870283,0.71289356,0.785642183,0.612555487,0.599815799,0.716757114,0.625504351
cpg252,Group,D2,0.914810845,0.919832018,0.911027709,0.934740214,0.922215789,0.920227503,0.911917936,0.867962611,0.900323118,0.88087019,0.869811714,0.895594749,0.890541175,0.883939581,0.901289644,0.898650881,0.893429421,0.885428452,0.89311018,0.913723842,0.892332993,0.89477208,0.853744106,0.891819779,0.894724823,0.898653633,0.876999114,0.921563459,0.905926326,0.917619897,0.908019628,0.938688696,0.934641193,0.90346607,0.906420749,0.93308277,0.909021265,0.886076314,0.893346791,0.941042973,0.915595971,0.945815519,0.93782425,0.914236133,0.927314459,0.943187313,0.928131048,0.942724377,0.911940684,0.898583114,0.906256785,0.904429081,0.905339809,0.871410296
cpg253,Group,D2,0.894831428,0.9074634,0.910149536,0.905882011,0.919048388,0.931656806,0.909628746,0.876691377,0.904935108,0.907880277,0.921089048,0.902588249,0.880864182,0.862417867,0.891078138,0.861137642,0.88739177,0.896969672,0.89484192,0.870466609,0.907871769,0.901853199,0.874180637,0.858494269,0.917020754,0.897618193,0.697327227,0.925009038,0.903662947,0.924584887,0.94298711,0.941787669,0.919067598,0.894171297,0.924339748,0.927545004,0.904329177,0.885049386,0.916559915,0.918170049,0.904866811,0.899368392,0.90259933,0.906811973,0.872932758,0.914489583,0.911047171,0.887698809,0.912994825,0.91196631,0.8961981,0.88657066,0.909997213,0.209453499
cpg254,Group,D2,0.589732621,0.560444525,0.504989147,0.698028592,0.55310461,0.554041805,0.515328305,0.482571673,0.544366081,0.520176555,0.483333737,0.542942299,0.468830844,0.458777877,0.578579146,0.388399377,0.490058986,0.445434098,0.590943246,0.525564538,0.449963228,0.532685321,0.494496462,0.519606872,0.622642265,0.525105665,0.478486046,0.717672074,0.643617884,0.624418928,0.810441242,0.664907916,0.769273292,0.709791229,0.756379643,0.793804632,0.77122525,0.471090051,0.625215803,0.673253017,0.535512991,0.810449761,0.734054503,0.835480654,0.751572454,0.866079769,0.752317444,0.722309333,0.629046808,0.67682682,0.721739981,0.649109265,0.672553788,0.543131762
cpg255,Group,D2,0.266438503,0.330881858,0.333575385,0.146774023,0.392764088,0.203073438,0.253271545,0.336026069,0.295357847,0.334658272,0.30866438,0.267668809,0.2681941,0.211973626,0.335941195,0.283775137,0.332647227,0.300455834,0.336999896,0.367224027,0.339859532,0.358369939,0.144205695,0.232462294,0.274661181,0.332689797,0.205970629,0.123723721,0.262244812,0.407361305,0.039202765,0.588988536,0.037385661,0.508803113,0.338341198,0.138040772,0.319640263,0.37980341,0.075542717,0.030974858,0.463344203,0.809773865,0.551816097,0.260739584,0.484676774,0.786936367,0.545970726,0.304732769,0.264380756,0.545038976,0.41054567,0.102689679,0.104213994,0.38420086
cpg256,Group,D2,0.906863295,0.911976069,0.90359964,0.909139958,0.918721918,0.911819881,0.906316143,0.902888638,0.913266688,0.914312401,0.897010542,0.917836023,0.905282832,0.9017359,0.907306391,0.913238874,0.913825837,0.882145363,0.918309573,0.912349215,0.906048163,0.905739726,0.886441936,0.906888571,0.910896275,0.925702893,0.899731869,0.872825386,0.898873019,0.907867914,0.657737007,0.871573467,0.887418158,0.870449729,0.913958746,0.929966595,0.916275423,0.924486947,0.906353607,0.857736129,0.897232749,0.92822185,0.934682457,0.935142011,0.932223541,0.918736825,0.713109128,0.938279928,0.903709672,0.8983759,0.905585819,0.91788973,0.927956507,0.916377997
cpg257,Group,D2,0.948455334,0.943790532,0.935019648,0.884158668,0.941870627,0.957417921,0.916492653,0.903779062,0.936529204,0.871573437,0.928221798,0.916259483,0.89818838,0.93705244,0.943086173,0.877372847,0.93604205,0.914748204,0.932930135,0.928563293,0.91467615,0.947037546,0.866691589,0.897700885,0.956197125,0.939648783,0.893938909,0.784798947,0.941407638,0.956183527,0.727097262,0.532040523,0.773858174,0.64967838,0.944593122,0.936288059,0.908305057,0.83297945,0.864594162,0.66978897,0.900387806,0.698585117,0.807483193,0.735315969,0.817454623,0.665176036,0.399618654,0.886586466,0.771410898,0.738824651,0.913345968,0.933240211,0.798983306,0.859656332
cpg258,Group,D2,0.897377731,0.868777651,0.786843938,0.908012415,0.940996241,0.884009763,0.887834931,0.876264232,0.902705049,0.915630941,0.877173745,0.887769419,0.848635604,0.888036271,0.914830188,0.894966431,0.884744626,0.892558623,0.92358714,0.89846818,0.919577166,0.863767813,0.889051332,0.875650832,0.896684424,0.890328562,0.86963377,0.891729618,0.900852346,0.918573484,0.887688428,0.952223632,0.91837406,0.930763037,0.935059084,0.870879704,0.935316702,0.849857761,0.884215223,0.901306356,0.926290766,0.843280956,0.902646471,0.948861529,0.864124063,0.826649168,0.950012585,0.891005956,0.893073002,0.914363249,0.873834105,0.875485444,0.904120581,0.96099781
cpg259,Group,D2,0.938144574,0.95372748,0.948529175,0.953514675,0.947039373,0.949292824,0.953558733,0.944399033,0.938754186,0.952617425,0.94417988,0.951470175,0.949529378,0.949540887,0.943882545,0.941344089,0.947103416,0.952502434,0.93987365,0.941975242,0.956872453,0.928957189,0.950512638,0.95167225,0.939246594,0.957829089,0.941359181,0.934552713,0.943978937,0.94566934,0.932180168,0.958841026,0.943241331,0.940588114,0.949914992,0.94614318,0.944702814,0.948207663,0.936541021,0.92536975,0.936559056,0.96438641,0.931397831,0.947059638,0.930586748,0.949887739,0.936412157,0.926957307,0.95254341,0.948655499,0.946298867,0.939855117,0.90253169,0.946738691
cpg260,Group,D2,0.958152428,0.948322832,0.96801363,0.940973352,0.963812249,0.97515876,0.964951005,0.950033406,0.963990846,0.946971174,0.971153535,0.954432464,0.948176619,0.951827042,0.962414625,0.934583191,0.966447567,0.958460019,0.935368387,0.968485183,0.937249587,0.949136706,0.953524155,0.927914451,0.976287729,0.967283644,0.968110233,0.929014776,0.941515425,0.966730383,0.944134751,0.902349985,0.94838075,0.875572409,0.95492837,0.925886431,0.956367356,0.940772739,0.958904169,0.867353281,0.964728631,0.931481889,0.948783016,0.93048537,0.956804646,0.937004834,0.915473564,0.948418692,0.966222603,0.928166014,0.960951816,0.940088787,0.931685701,0.946574783
cpg261,Group,D2,0.951611043,0.930326218,0.956364653,0.951617861,0.891869331,0.944845944,0.953337266,0.923330488,0.941401039,0.942992933,0.948413166,0.934958827,0.952155942,0.925251248,0.942648417,0.936582395,0.943724253,0.93740607,0.950161225,0.943944475,0.93950491,0.941026106,0.913225045,0.933018398,0.956451347,0.951914926,0.823145975,0.953141103,0.932389547,0.948719721,0.945351203,0.932790534,0.952701035,0.937710837,0.9502501,0.9512194,0.957778159,0.953438629,0.932301566,0.918593293,0.953258952,0.935242336,0.949982859,0.95832039,0.941532211,0.936863221,0.945267878,0.948715539,0.915367836,0.956085109,0.950006034,0.946057813,0.936483345,0.965256658
cpg262,Group,D2,0.858678851,0.847993824,0.8138737,0.786003273,0.822619767,0.87246139,0.865840737,0.850997178,0.812314878,0.804352627,0.804871855,0.855161485,0.872738122,0.803665027,0.846027196,0.880461368,0.843924322,0.84415032,0.889010208,0.846434296,0.8764043,0.882348007,0.78791945,0.853502848,0.873390168,0.864216085,0.814481628,0.808816851,0.853896779,0.908156367,0.693725725,0.905254729,0.784933,0.857554782,0.787300628,0.729166435,0.84252737,0.885146633,0.788573394,0.691562633,0.820513379,0.885571801,0.816864493,0.813873682,0.842318895,0.883522165,0.831510173,0.811087249,0.831646519,0.858830415,0.765981723,0.874782853,0.813756325,0.838383933
cpg263,Group,D2,0.843895006,0.917557521,0.770047059,0.860198547,0.910912449,0.848320046,0.844159853,0.863755426,0.808660783,0.878558806,0.858698716,0.894435633,0.82797596,0.84656705,0.865334366,0.884586516,0.859280821,0.887057143,0.905109366,0.881514734,0.863175012,0.857558124,0.825202575,0.896470727,0.874199923,0.869487439,0.858972479,0.868758532,0.878146418,0.906624544,0.888063215,0.919103968,0.872123897,0.871900516,0.856124892,0.846920649,0.900472116,0.883884916,0.878438251,0.833279154,0.884387876,0.870970124,0.851367259,0.815724496,0.795175826,0.902663873,0.839914487,0.859208421,0.862520766,0.903586353,0.880785497,0.884736677,0.827181186,0.909650623
cpg264,Group,D2,0.843358318,0.81414207,0.749305544,0.900232987,0.830958884,0.78639668,0.810580801,0.732483477,0.776782464,0.734503367,0.749283633,0.770871686,0.771992535,0.786424743,0.78674341,0.723278254,0.802088192,0.687195989,0.789113461,0.81507469,0.751728322,0.758579237,0.597390379,0.761571514,0.786347915,0.758481023,0.60528754,0.837137064,0.79893208,0.866195555,0.857448418,0.884073393,0.87870518,0.875063567,0.873078926,0.841883772,0.872325132,0.759771782,0.844159577,0.8545521,0.841131164,0.898651398,0.899747013,0.85583729,0.851955893,0.913318396,0.885046514,0.819221885,0.864736153,0.827298797,0.846357595,0.823864212,0.784026487,0.937987126
cpg265,Group,D2,0.660353825,0.848625006,0.878555616,0.918673435,0.839234212,0.865564625,0.799137841,0.887463648,0.834058241,0.867985083,0.89221394,0.814814207,0.888765796,0.872215502,0.768421496,0.882187371,0.86162205,0.829730654,0.864208549,0.784116275,0.87716922,0.91334816,0.8194955,0.887138101,0.766493986,0.762720713,0.799551396,0.875497728,0.788208155,0.930519608,0.87796095,0.879820636,0.863171648,0.806664601,0.903673505,0.910882816,0.953343654,0.65902459,0.880793974,0.838022764,0.717062982,0.774587919,0.878165894,0.769437532,0.916178973,0.664838411,0.9554073,0.499029668,0.908319942,0.503570577,0.955024049,0.888826582,0.464267133,0.57592845
cpg266,Group,D2,0.939909721,0.858372109,0.92680431,0.925140811,0.888421704,0.926508677,0.948563704,0.920772716,0.933406757,0.935570892,0.88341062,0.923448908,0.902442923,0.864499493,0.876847447,0.880437141,0.900153303,0.918749696,0.933848416,0.885543207,0.93908767,0.925341742,0.931014618,0.910084405,0.878428852,0.908612425,0.958318488,0.895026303,0.847946011,0.888677944,0.917339552,0.932969549,0.927631104,0.925768023,0.91546309,0.84190268,0.929385769,0.578380809,0.853704604,0.865844385,0.893898052,0.53238434,0.287814904,0.886663429,0.880750799,0.551410897,0.920834181,0.406726892,0.870002006,0.757924427,0.920352216,0.92292713,0.938555706,0.963034393
cpg267,Group,D2,0.628986933,0.710554627,0.740251753,0.790302982,0.79438045,0.815873474,0.705459766,0.652072172,0.621593827,0.787193295,0.771930539,0.802565154,0.784053886,0.797318327,0.71017497,0.706504566,0.770215918,0.709140267,0.723666071,0.72741478,0.73197027,0.736018357,0.816634464,0.819010544,0.630135737,0.721188926,0.791477062,0.793994551,0.733941328,0.802122192,0.482110101,0.867164428,0.786875408,0.76629015,0.769084305,0.723535044,0.833486113,0.80189567,0.771781489,0.696310576,0.747067964,0.71935039,0.756127897,0.526930115,0.771413767,0.755266274,0.70317378,0.511241602,0.766486162,0.762774681,0.80273706,0.664874306,0.633182398,0.877156769
cpg268,Group,D2,0.546768816,0.618311896,0.572702186,0.72165622,0.540573913,0.650464939,0.564885005,0.546831258,0.559518509,0.608233942,0.631034403,0.538356145,0.666549672,0.647663808,0.665759296,0.664143843,0.56466036,0.650744887,0.676788231,0.518072844,0.567160929,0.638829665,0.881183917,0.726569641,0.59788637,0.615225736,0.72974422,0.904607485,0.791073849,0.844420459,0.486592793,0.753913359,0.895414831,0.741496169,0.807749957,0.834936422,0.836446081,0.822239197,0.841895821,0.758536301,0.670380128,0.879101831,0.829869661,0.230808921,0.785249641,0.679509799,0.615320434,0.827386256,0.755557856,0.760678475,0.857051188,0.606675075,0.466431163,0.145006047
cpg269,Group,D2,0.610306181,0.5506938,0.499483745,0.743727531,0.574020407,0.611860547,0.506209852,0.429915779,0.517746106,0.421859087,0.498646744,0.455784925,0.597893989,0.392520128,0.47505092,0.411178562,0.504567654,0.507988603,0.451211111,0.474615557,0.465046515,0.514307969,0.450306721,0.364091182,0.601126082,0.503660261,0.246425,0.811250604,0.653821819,0.852658662,0.869950215,0.843471902,0.895687375,0.703804337,0.820032521,0.890059248,0.830539651,0.767850846,0.802889504,0.731356705,0.685569345,0.833529311,0.838836076,0.41079409,0.722358705,0.739295747,0.764042262,0.741136295,0.887748769,0.864003656,0.656373526,0.769175762,0.745772319,0.035342456
cpg270,Group,D2,0.855213838,0.758473574,0.73315973,0.892392494,0.826345158,0.791221577,0.797998829,0.619727069,0.801037155,0.663859728,0.717152573,0.716669624,0.738451324,0.669667464,0.719099013,0.639850084,0.738836377,0.785998171,0.712757386,0.721465224,0.668968985,0.786510377,0.841342988,0.68150832,0.84010876,0.763869446,0.707381952,0.940484866,0.884147629,0.89859791,0.900991406,0.922116837,0.935333264,0.861773898,0.908365214,0.907598166,0.889178509,0.931597958,0.912489362,0.919940368,0.822786654,0.926182752,0.926787822,0.716756595,0.795883924,0.915393089,0.919652094,0.933037715,0.906929302,0.924888755,0.907489453,0.929570486,0.882978616,0.913144422
cpg271,Group,D2,0.175302091,0.142106575,0.237599967,0.34932743,0.215074025,0.241974827,0.184237157,0.188879793,0.255160166,0.184796932,0.175797236,0.231734707,0.22444222,0.263278906,0.186017688,0.17033202,0.23123664,0.155819807,0.137047556,0.264045293,0.177711245,0.226057964,0.174983676,0.275692172,0.155716015,0.149686823,0.109368431,0.178934017,0.186443116,0.19189928,0.131292246,0.308766568,0.147791094,0.072185801,0.147587481,0.364692555,0.191551424,0.124419617,0.113029683,0.428639929,0.200156675,0.085323882,0.159554293,0.059838289,0.079346269,0.175333851,0.283165612,0.075250624,0.155737227,0.083335502,0.157357599,0.204298204,0.057191072,0.031342295
cpg272,Group,D2,0.711581967,0.625398713,0.510048104,0.345350749,0.526538026,0.604362154,0.606109933,0.505510262,0.562140227,0.531352584,0.705762451,0.533463792,0.768412334,0.549814796,0.546949567,0.637958976,0.737388353,0.678392213,0.52172717,0.656206907,0.605569621,0.508405867,0.605948228,0.561534191,0.702299757,0.669809074,0.652852462,0.327634193,0.661497203,0.733102495,0.644859071,0.784778759,0.217061023,0.658955533,0.773347657,0.313961066,0.611426695,0.755659446,0.850249937,0.876279058,0.758779439,0.708683524,0.892606796,0.749445141,0.762339392,0.877031,0.876837721,0.112127522,0.827971067,0.840495964,0.576603719,0.584624211,0.200366137,0.661823064
cpg273,Group,D2,0.842359626,0.863408231,0.879349117,0.894962408,0.840433499,0.901970223,0.815993911,0.848909447,0.864136414,0.853452187,0.827840254,0.823768554,0.857659954,0.821958536,0.865296483,0.773685231,0.847746673,0.820900171,0.836464106,0.803961183,0.798328415,0.888340307,0.78251474,0.869975199,0.869943256,0.79006926,0.771989282,0.851390064,0.879676057,0.907641833,0.731944661,0.908453779,0.863861781,0.863427845,0.848655282,0.92652383,0.856314662,0.76624401,0.697608232,0.307585214,0.866443257,0.907971008,0.710762692,0.888047502,0.711062324,0.692188459,0.826984214,0.832685483,0.854745556,0.890264015,0.804483677,0.852500192,0.781670321,0.92571671
cpg274,Group,D2,0.783410533,0.702139082,0.727545359,0.821400907,0.739483745,0.726673131,0.664093454,0.599749701,0.804507562,0.678876889,0.608980226,0.708699431,0.590356059,0.624251506,0.690201578,0.583998383,0.639457882,0.498899671,0.6649888,0.724791198,0.722397441,0.665174037,0.448114946,0.562134901,0.749076115,0.674493307,0.366915124,0.769111732,0.741968264,0.842978989,0.906962004,0.802788264,0.907443392,0.875366251,0.799070955,0.889982461,0.824436509,0.6619614,0.797016717,0.870449921,0.819421541,0.881480447,0.885064959,0.898700492,0.759463446,0.910414589,0.848426994,0.882944557,0.75883411,0.825831512,0.815853389,0.727401398,0.882025763,0.938487891
cpg275,Group,D2,0.271105331,0.313109785,0.260415414,0.440166652,0.142943147,0.286903223,0.266096003,0.162795021,0.265736455,0.209617112,0.258812259,0.330294645,0.229571476,0.176676673,0.210271996,0.246832914,0.279955131,0.203328019,0.195020524,0.210211293,0.252229245,0.224749067,0.29740356,0.258799909,0.263088638,0.217067704,0.243395814,0.430055591,0.233187063,0.43643919,0.396145284,0.549961814,0.495122095,0.299016834,0.371843762,0.56843956,0.31332547,0.301881813,0.399178032,0.311945459,0.224011446,0.165993774,0.459565264,0.157569725,0.203184551,0.095022861,0.228593293,0.4995894,0.39670465,0.513198409,0.370296827,0.402202362,0.254089876,0.074048962
cpg276,Group,D2,0.875645227,0.894381449,0.898307406,0.89138393,0.913115201,0.865719276,0.85814049,0.883238403,0.902933773,0.876090484,0.84585063,0.877759704,0.845195918,0.876434167,0.840361719,0.847355357,0.88333118,0.854397119,0.89076641,0.889595997,0.869133783,0.873727054,0.78046718,0.82397067,0.883800213,0.8540816,0.822096895,0.817585849,0.844320329,0.888064069,0.888915998,0.917272739,0.8963034,0.873662369,0.903758439,0.924265698,0.888441351,0.82153076,0.850016963,0.938219975,0.893540534,0.914554792,0.898467573,0.803300324,0.908804749,0.698901746,0.883452253,0.873937652,0.851189186,0.870924817,0.886612756,0.886975918,0.85215869,0.338575042
cpg277,Group,D2,0.898018411,0.84919308,0.864584463,0.901201635,0.915209706,0.922767396,0.891414265,0.832380457,0.911365073,0.856803102,0.870134982,0.864167629,0.89463351,0.837173213,0.887219672,0.85208156,0.868282015,0.876567708,0.848039902,0.889842851,0.863296099,0.859530541,0.88524483,0.894088396,0.897231235,0.855792992,0.885765821,0.91388967,0.862771424,0.903528258,0.902912793,0.929543316,0.893769101,0.884649086,0.892267039,0.930727042,0.890892055,0.925629119,0.915399248,0.904138442,0.866314651,0.915737521,0.906255067,0.896879758,0.890744508,0.923442256,0.893698619,0.870422119,0.917180331,0.905730459,0.878061096,0.937673552,0.858832611,0.933968086
cpg278,Group,D2,0.744856379,0.777478173,0.730005262,0.793078814,0.682495946,0.791829454,0.684573318,0.652752612,0.86444566,0.698382948,0.798213391,0.775838457,0.777990891,0.724683908,0.698887679,0.73729396,0.825673131,0.779702503,0.722836271,0.742576902,0.6854217,0.762003965,0.79356586,0.733234972,0.813874275,0.701580305,0.827447466,0.806526351,0.845837767,0.842608418,0.573295269,0.621548202,0.850797683,0.53429805,0.646443702,0.842531966,0.917643571,0.875926091,0.822230063,0.203314831,0.84808027,0.892345952,0.908201246,0.907237379,0.874532913,0.206006333,0.789103096,0.848604917,0.867101543,0.916859037,0.893062851,0.79860875,0.284774234,0.959355601
cpg279,Group,D2,0.953295739,0.946013825,0.95050791,0.944246971,0.953445552,0.962028406,0.954813034,0.948544396,0.954794276,0.946699594,0.95590169,0.952502833,0.963651182,0.930270229,0.950791617,0.950374398,0.933234029,0.941256358,0.931136887,0.944649462,0.955212901,0.946499498,0.949356372,0.951444523,0.931476291,0.925909972,0.948120586,0.954797885,0.941588409,0.953362802,0.938506684,0.94863406,0.941360685,0.958310939,0.939079386,0.937128731,0.946204744,0.926949608,0.831862552,0.82709081,0.851102049,0.67492519,0.918232559,0.945836012,0.936319956,0.924359402,0.90242723,0.917350493,0.948292718,0.932104827,0.920643615,0.94890914,0.930596799,0.932027498
cpg280,Group,D2,0.087128917,0.190888935,0.08364681,0.112149671,0.107156949,0.065013902,0.124898322,0.076724853,0.117802828,0.131175562,0.098202923,0.13905502,0.127605774,0.09635,0.076899834,0.068161738,0.118653654,0.075471286,0.086788056,0.081176461,0.118040233,0.124212602,0.056995568,0.086591515,0.075389106,0.098214489,0.044109896,0.059586831,0.190310454,0.112884304,0.055038384,0.434247397,0.050753261,0.06280531,0.184308803,0.068775811,0.173471375,0.044310326,0.116925521,0.240442567,0.229104494,0.372478521,0.15681211,0.028589515,0.179810068,0.245170292,0.421633154,0.035844401,0.357289426,0.240532806,0.128323885,0.061026786,0.018859374,0.010514857
cpg281,Group,D2,0.615179837,0.670157807,0.54435074,0.24504603,0.607317471,0.492112909,0.595757058,0.510678495,0.595727516,0.536037836,0.518014246,0.655057247,0.552866662,0.63954577,0.598484681,0.565377246,0.639035754,0.472095918,0.436749505,0.60591364,0.574226858,0.529694437,0.292494013,0.449453595,0.474702634,0.544833003,0.275017984,0.257284333,0.392478915,0.525372735,0.419683667,0.576344478,0.064790366,0.668776886,0.589211302,0.17096422,0.616590291,0.51233577,0.462485776,0.548250761,0.689200653,0.343611184,0.737777924,0.071419645,0.667182014,0.68640902,0.341553074,0.367606119,0.479490675,0.558643373,0.356999658,0.325654285,0.199247425,0.078950937
cpg282,Group,D2,0.964795362,0.965325921,0.956628212,0.923929025,0.941038286,0.927540994,0.942414527,0.964234281,0.927635142,0.935818634,0.94225793,0.922412559,0.961678126,0.950793902,0.931316459,0.940767413,0.931876122,0.948539993,0.940842178,0.920834367,0.944513589,0.935380476,0.931204523,0.923098679,0.949308649,0.927209796,0.888610651,0.920317309,0.952548517,0.928118109,0.917772927,0.961005068,0.910330048,0.939347007,0.959628406,0.867822688,0.949499884,0.93476185,0.939990724,0.911766722,0.943303789,0.92769819,0.964779111,0.916496303,0.954785631,0.803872102,0.813235865,0.925402475,0.93141609,0.927209529,0.897366689,0.916321219,0.929834132,0.627165691
cpg283,Group,D2,0.619089988,0.673970589,0.719462084,0.776026941,0.700199201,0.748757192,0.663137364,0.596518716,0.605002691,0.604727453,0.611232909,0.614940567,0.604841256,0.666743448,0.640383284,0.671385826,0.607677171,0.644433437,0.717833865,0.626053729,0.546590287,0.680354671,0.50761459,0.686070867,0.671538311,0.616391769,0.488694994,0.569737253,0.763561041,0.861716301,0.501075683,0.922626304,0.719312107,0.808246226,0.888122356,0.827649063,0.847160342,0.651240466,0.735436441,0.113227321,0.802556396,0.497395511,0.948961117,0.583552047,0.861513849,0.80989321,0.751821912,0.868783441,0.818915448,0.820296675,0.874082496,0.457645846,0.225408645,0.110301236
cpg284,Group,D2,0.286385693,0.302867126,0.301847971,0.506471255,0.319653561,0.34456649,0.279495573,0.274976792,0.285774363,0.28331544,0.232824473,0.304331261,0.252656148,0.32834952,0.25512624,0.213964241,0.305051909,0.232374592,0.208305274,0.293349683,0.34173618,0.376292276,0.29509461,0.273449383,0.305925605,0.319638542,0.248694501,0.435864862,0.275062938,0.315231556,0.526908372,0.37179158,0.390513264,0.21125551,0.240808129,0.589342171,0.366517478,0.2339542,0.182651463,0.172954181,0.508976387,0.237888733,0.244665569,0.150437908,0.343338405,0.118304163,0.573371397,0.177340114,0.339884992,0.263164062,0.418432348,0.344522147,0.24387655,0.04724801
cpg285,Group,D2,0.137859716,0.25632989,0.225980392,0.277573068,0.280744046,0.293510489,0.235927296,0.162339212,0.143091085,0.225025606,0.195812157,0.246633647,0.25713361,0.205263026,0.268316211,0.161458223,0.248256175,0.240741291,0.11771053,0.179075502,0.189823899,0.292635885,0.21515398,0.215930406,0.113377796,0.290717408,0.246771997,0.338662586,0.292900922,0.352179529,0.323700083,0.185302366,0.231572271,0.169075975,0.350742952,0.284253673,0.552870645,0.492944234,0.32375843,0.17781479,0.467367439,0.447744936,0.694493165,0.175217196,0.639375964,0.364240367,0.265889575,0.068612474,0.259456242,0.519523163,0.40531947,0.182465883,0.171843588,0.063323648
cpg286,Group,D2,0.033560689,0.06301358,0.065928244,0.183175642,0.034107624,0.052472917,0.054767684,0.018843299,0.052709228,0.058522175,0.052607337,0.049654549,0.024099595,0.049728202,0.055338746,0.039820077,0.052319492,0.036301715,0.050677571,0.046487796,0.041440804,0.049719501,0.030833232,0.028002566,0.031494572,0.027156906,0.027712458,0.228765649,0.068754113,0.078696351,0.07100188,0.050934878,0.136831903,0.036649477,0.270999438,0.306453041,0.217510858,0.024609609,0.219497596,0.014614043,0.070078656,0.017679062,0.420174349,0.106987892,0.074903551,0.018702983,0.077329539,0.401827954,0.036320388,0.029689624,0.303295025,0.162857651,0.078243918,0.024980786
